datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
02-05-2022 12:05,402.04714,393.5075,388.37875,387.4666667,378.12125,372.9925,364.45286,382,389.95,367,382.05,196229
04-05-2022 12:05,405.9411376,394.6725,388.36125,379.6666667,375.73875,369.4275,358.1588624,384.9,392.05,357.95,367.9,350763
05-05-2022 12:05,402.9478838,386.655,377.2775,372.6333333,358.5225,349.145,332.8521162,370.5,379.95,367.05,369.85,273135
06-05-2022 12:05,382.8484062,376.945,373.3975,372.2833333,366.3025,362.755,356.8515938,359,364.1,343.5,348.9,329581
09-05-2022 12:05,369.8238428,360.23,354.565,352.1666667,343.235,337.57,327.9761572,347,348.8,320,324.85,367164
10-05-2022 12:05,354.0865,340.69,332.77,331.2166667,316.93,309.01,295.6135,323,334.9,305.5,310.65,204887
11-05-2022 12:05,340.5456137,326.82,318.735,317.0166667,302.565,294.48,280.7543863,311.9,316.7,256.95,277.75,853034
12-05-2022 12:05,342.3367387,310.6125,294.18125,283.8,261.31875,244.8875,213.1632613,274,296.95,263.8,270.15,532491
13-05-2022 12:05,304.0979625,288.3825,279.26625,276.9666667,261.03375,251.9175,236.2020375,277.85,298.7,275.9,281.1,485094
16-05-2022 12:05,304.3297209,293.64,287.37,285.2333333,274.83,268.56,257.8702791,282.5,293.85,276.7,280.15,222249
17-05-2022 12:05,297.5138327,289.5825,284.86625,283.5666667,275.43375,270.7175,262.7861673,283.4,288.65,275.2,281.65,340177
18-05-2022 12:05,295.4152344,289.0475,285.34875,281.8333333,277.95125,274.2525,267.8847656,282.9,294.7,281.45,290.75,254895
19-05-2022 12:05,304.437822,298.0375,294.39375,288.9666667,287.10625,283.4625,277.062178,284,291,268,271.8,161145
20-05-2022 12:05,295.1261194,284.45,278.125,276.9333333,265.475,259.15,248.4738806,276.7,308.8,276.55,304.2,534087
23-05-2022 12:05,339.6744169,321.9375,313.06875,296.5166667,295.33125,286.4625,268.7255831,306.2,315.9,302,302.8,329029
24-05-2022 12:05,316.7368212,310.445,306.6225,306.9,298.9775,295.155,288.8631788,304.9,305.8,286.1,290.2,335844
25-05-2022 12:05,310.1823139,301.035,295.6175,294.0333333,284.7825,279.365,270.2176861,292.55,296.85,271,275.45,184497
26-05-2022 12:05,301.7244742,289.6675,282.55875,281.1,268.34125,261.2325,249.1755258,278.8,283.95,268.2,282.4,229050
27-05-2022 12:05,298.9838926,291.0625,286.73125,278.1833333,278.06875,273.7375,265.8161074,285.6,288.85,278.9,286,93968
30-05-2022 12:05,296.2032987,291.4725,288.73625,284.5833333,283.26375,280.5275,275.7967013,292,299,285.15,289.25,179191
31-05-2022 12:05,303.2991408,296.8675,293.05875,291.1333333,285.44125,281.6325,275.2008592,294,295.45,280.5,286.15,87181
01-06-2022 12:06,301.4011319,294.3725,290.26125,287.3666667,282.03875,277.9275,270.8988681,281.1,294,281.1,290.6,319982
02-06-2022 12:06,303.9359658,297.695,294.1475,288.5666667,287.0525,283.505,277.2640342,292.4,314.85,287.8,312.3,335329
03-06-2022 12:06,341.6527276,327.1775,319.73875,304.9833333,304.86125,297.4225,282.9472724,314.6,319.7,309.5,311.55,250691
